CHM026,Acid Soluble Material in Fine Aggregate,BS 812-119
ASO215,Aggregate Abrasion Value,BS 812-113
ASO124,Aggregate Crushing Value,BS 812-110
ASO125,Aggregate Impact Value,BS 812-112
ASO119,Bulk Density (Compacted and Loose) & Voids,BS 812-2
CHM040,Chloride Content,BS 812: Part 117: 1988
ASO129,Drying shrinkage,BS 812-120
ASO132,Elongation Index,BS 812-105.2
ASO135,Flakiness Index,BS 812-105.1
ASO148,Materials finer than 75 Âµm,BS 812: 103.1
ASO146,Moisture content,BS 812-109
ASO239,Particle Density,"BS 812-2, Cl 5.4"
ASO156,Particle density  & water absorption,"BS 812-2, Clause 5.4"
ASO157,Particle density  & water absorption,"BS 812-2, Clause 5.5"
ASO155,Particle density & water absorption,"BS 812-2, Clause 5.3"
ASO012,Particle Density of Filler,"BS 812-2, Clause 5.7"
T00491,Particle Size Distribution,BS 812-103.1
ASO166,Particle Size Distribution (Sieve Analysis),BS 812-103.1
ASO210,Petrographic Examination,BS 812-104
ASO113,Polished - Stone Value,BS 812-114
T00986,Sampling Aggregates,BS 812-102
ASO167,Shell content,BS 812-106
T00067,Silt & Clay Content,BS 812-103.1
ASO209,Soundness in Magnesium Sulfate,BS 812 Part 121
CHM046,Sulphate Content,BS 812 :P 118
ASO174,Ten percent fines value,BS 812-111
ASO192,Total Sulfate Content by Acid Extraction,BS 812-118 Cl 6
ASO019,Uncompacted Bulk Density,BS 812-2:Clause 6.3
ASO014,Voids & Bulking,BS 812-2:Clause 6.4 & 6.5
ASO240,Water Absorption,BS 812-2 Cl.5.4
ASO242,Water-soluble Chloride Salts,BS 812- 117
T01000,Water-soluble Sulfates,BS 812-118 Cl 5
